1;AC;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
2;AL;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
3;AM;12;12;18;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
4;AP;12;12;12;18;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
5;BA;12;12;12;12;18;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
6;CE;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
7;DF;12;12;12;12;12;12;18;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
8;ES;12;12;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
9;GO;12;12;12;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
10;MA;12;12;12;12;12;12;12;12;12;18;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
11;MT;12;12;12;12;12;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
12;MS;12;12;12;12;12;12;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
13;MG;7;7;7;7;7;7;7;7;7;7;7;7;18;7;7;12;7;7;7;12;12;7;7;12;12;7;7
14;PA;12;12;12;12;12;12;12;12;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12;12;12;12;12
15;PB;12;12;12;12;12;12;12;12;12;12;12;12;12;12;18;12;12;12;12;12;12;12;12;12;12;12;12
16;PR;7;7;7;7;7;7;7;7;7;7;7;7;12;7;7;18;7;7;7;12;12;7;7;12;12;7;7
17;PE;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;18;12;12;12;12;12;12;12;12;12;12
18;PI;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;17;12;12;12;12;12;12;12;12;12
19;RN;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;18;12;12;12;12;12;12;12;12
20;RS;7;7;7;7;7;7;7;7;7;7;7;7;12;7;7;12;7;7;7;18;12;7;7;12;12;7;7
21;RJ;7;7;7;7;7;7;7;7;7;7;7;7;12;7;7;12;7;7;7;12;20;7;7;12;12;7;7
22;RO;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;17.5;12;12;12;12;12
23;RR;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;17;12;12;12;12
23;SC;7;7;7;7;7;7;7;7;7;7;7;7;12;7;7;12;7;7;7;12;12;7;7;17;12;7;7
25;SP;7;7;7;7;7;7;7;7;7;7;7;7;12;7;7;12;7;7;7;12;12;7;7;12;18;7;7
26;SE;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;18;12
27;TO;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;18
