Incluindo dados|lykos 04/06/2017 20:25:13||SSSSS;10.00
Alterando dados|lykos 15/12/2016 20:01:37|ELIARDO 21;1,236.01|ELIARDO 21;1236.00
Apagando dados|lykos 15/12/2016 20:01:09|MARICA;12.00|
Apagando dados|lykos 15/12/2016 20:01:06|JOAO;10.00|
Apagando dados|lykos 15/12/2016 20:01:04|GABRIEL;220.00|
Apagando dados|lykos 15/12/2016 20:01:00|ALINE;220.00|
Incluindo dados|lykos 15/12/2016 19:59:59||GABRIEL;220.00
Incluindo dados|lykos 15/12/2016 19:59:48||MARICA;12.00
Incluindo dados|lykos 15/12/2016 19:59:40||JOAO;10.00
Incluindo dados|lykos 15/12/2016 19:59:33||ALINE;220.00
Apagando dados|lykos 15/12/2016 19:58:13|ALINE;120.21|
Incluindo dados|lykos 15/12/2016 19:58:07||aline;120.21
Apagando dados|lykos 15/12/2016 19:57:34|MARCIA;1,000.00|
Apagando dados|lykos 15/12/2016 19:54:57||;0.00
Incluindo dados|lykos 15/12/2016 19:54:41||joao;210.00
Incluindo dados|lykos 15/12/2016 19:50:09||marcia ;1000.00
Alterando dados|lykos 15/12/2016 19:44:10|ELIARDO 22;30.00|ELIARDO 22;30.00
Alterando dados|lykos 15/12/2016 19:44:06|ELIARDO 21;1,236.01|ELIARDO 21;1236.01
Alterando dados|lykos 15/12/2016 19:43:57|ELIARDO 23;36.00|ELIARDO 23;36.00
Alterando dados|lykos 15/12/2016 19:43:46|ELIARDO 22;30.00|ELIARDO 22;30.00
Alterando dados|lykos 15/12/2016 19:43:33|ELIARDO 22;30.00|ELIARDO 22;30.00
Alterando dados|lykos 15/12/2016 19:28:03|ELIARDO 23;36.00|ELIARDO 23;36.0
Alterando dados|lykos 15/12/2016 19:28:01|ELIARDO 22;30.00|ELIARDO 22;30.0
Alterando dados|lykos 15/12/2016 19:27:56|ELIARDO 21;1,236.01|ELIARDO 21;1236.01
